# Serializing assets/vocabularies/currency/20210929-0/currency.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/currency
# title: Currency
# version: 20210929-0
# description: Currency
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
BZD,http://publications.europa.eu/resource/authority/currency/BZD,false,,1990-01-01,BZD,Belize dollar,Dollaro del Belize
CAD,http://publications.europa.eu/resource/authority/currency/CAD,false,,1950-01-01,CAD,Canadian dollar,Dollaro canadese
CDF,http://publications.europa.eu/resource/authority/currency/CDF,false,,1998-01-01,CDF,Congolese franc,Franco congolese
CHE,http://publications.europa.eu/resource/authority/currency/CHE,false,,2001-01-01,CHE,WIR Euro,WIR Euro
CHF,http://publications.europa.eu/resource/authority/currency/CHF,false,,1990-01-01,CHF,Swiss franc,Franco svizzero
CHW,http://publications.europa.eu/resource/authority/currency/CHW,false,,1934-01-01,CHW,WIR Franc,WIR Franc
CLE,http://publications.europa.eu/resource/authority/currency/CLE,true,1975-09-29,1960-01-01,CLE,Chilean escudo,
CLF,http://publications.europa.eu/resource/authority/currency/CLF,false,,1967-01-20,CLF,Unidad de Fomento,Unidad de Fomento
CLP,http://publications.europa.eu/resource/authority/currency/CLP,false,,1975-09-30,CLP,Chilean peso,Peso cileno
CNY,http://publications.europa.eu/resource/authority/currency/CNY,false,,1990-01-01,CNY,Renminbi-yuan,Renminbi-yuan
COP,http://publications.europa.eu/resource/authority/currency/COP,false,,1990-01-01,COP,Colombian peso,Peso colombiano
COU,http://publications.europa.eu/resource/authority/currency/COU,false,,2000-01-01,COU,Unidad de Valor Real,Unidad de Valor Real
CRC,http://publications.europa.eu/resource/authority/currency/CRC,false,,1990-01-01,CRC,Costa Rican colon,Colón costaricano
CSJ,http://publications.europa.eu/resource/authority/currency/CSJ,true,1953-12-31,1945-01-01,CSJ,Czechoslovak koruna,
CSK,http://publications.europa.eu/resource/authority/currency/CSK,true,1993-02-07,1954-01-01,CSK,Czechoslovak koruna,
CUC,http://publications.europa.eu/resource/authority/currency/CUC,false,,1990-01-01,CUC,Convertible peso,Peso convertibile
CUP,http://publications.europa.eu/resource/authority/currency/CUP,false,,1990-01-01,CUP,Cuban peso,Peso cubano
CVE,http://publications.europa.eu/resource/authority/currency/CVE,false,,1990-01-01,CVE,Cabo Verde escudo,Escudo capoverdiano
CYP,http://publications.europa.eu/resource/authority/currency/CYP,true,2007-12-31,1952-07-25,CYP,Cypriot pound,Lira sterlina cipriota
CZK,http://publications.europa.eu/resource/authority/currency/CZK,false,,1993-02-08,CZK,Czech koruna,Corona ceca
DDM,http://publications.europa.eu/resource/authority/currency/DDM,true,1990-07-01,1948-06-21,DDM,East-German Mark,
DEM,http://publications.europa.eu/resource/authority/currency/DEM,true,2001-12-31,1952-07-25,DEM,German mark,Marco tedesco
DJF,http://publications.europa.eu/resource/authority/currency/DJF,false,,1990-01-01,DJF,Djibouti franc,Franco di Gibuti
DKK,http://publications.europa.eu/resource/authority/currency/DKK,false,,1990-01-01,DKK,Danish krone,Corona danese
DOP,http://publications.europa.eu/resource/authority/currency/DOP,false,,1990-01-01,DOP,Dominican peso,Peso dominicano
DZD,http://publications.europa.eu/resource/authority/currency/DZD,false,,1990-01-01,DZD,Algerian dinar,Dinar algerino
ECS,http://publications.europa.eu/resource/authority/currency/ECS,true,2000-12-31,1952-07-25,ECS,Ecuadorian sucre,
EEK,http://publications.europa.eu/resource/authority/currency/EEK,true,2010-12-31,1992-06-20,EEK,Estonian kroon,Corona estone
EGP,http://publications.europa.eu/resource/authority/currency/EGP,false,,1990-01-01,EGP,Egyptian pound,Lira egiziana
ERN,http://publications.europa.eu/resource/authority/currency/ERN,false,,1997-11-08,ERN,Nakfa,Nakfa
ESP,http://publications.europa.eu/resource/authority/currency/ESP,true,1998-12-31,1952-07-25,ESP,Peseta,Peseta
ETB,http://publications.europa.eu/resource/authority/currency/ETB,false,,1990-01-01,ETB,Birr,Birr
EUR,http://publications.europa.eu/resource/authority/currency/EUR,false,,1999-01-01,EUR,Euro,Euro
FIM,http://publications.europa.eu/resource/authority/currency/FIM,true,1999-01-01,1952-07-25,FIM,Finnish markka,Marco finlandese
FJD,http://publications.europa.eu/resource/authority/currency/FJD,false,,1990-01-01,FJD,Fiji dollar,Dollaro delle Figi
FKP,http://publications.europa.eu/resource/authority/currency/FKP,false,,1990-01-01,FKP,Falkland Islands pound,Sterlina delle Falkland
FRF,http://publications.europa.eu/resource/authority/currency/FRF,true,1999-01-01,1960-01-01,FRF,French franc,Franco francese
GBP,http://publications.europa.eu/resource/authority/currency/GBP,false,,1990-01-01,GBP,Pound sterling,Lira sterlina
GEL,http://publications.europa.eu/resource/authority/currency/GEL,false,,1994-04-05,GEL,Lari,Lari
GHC,http://publications.europa.eu/resource/authority/currency/GHC,true,2006-06-30,1967-01-01,GHC,Cedi,Cedi
GHS,http://publications.europa.eu/resource/authority/currency/GHS,false,,2007-07-01,GHS,Ghana cedi,Cedi ghanese
GIP,http://publications.europa.eu/resource/authority/currency/GIP,false,,1990-01-01,GIP,Gibraltar pound,Sterlina di Gibilterra
GMD,http://publications.europa.eu/resource/authority/currency/GMD,false,,1990-01-01,GMD,Dalasi,Dalasi
GNE,http://publications.europa.eu/resource/authority/currency/GNE,true,1985-12-31,1971-12-01,GNE,Syli,
GNF,http://publications.europa.eu/resource/authority/currency/GNF,false,,1986-01-01,GNF,Guinean franc,Franco della Guinea
GQE,http://publications.europa.eu/resource/authority/currency/GQE,true,1985-12-31,1975-01-01,GQE,Ekwele,
GRD,http://publications.europa.eu/resource/authority/currency/GRD,true,2000-12-31,1964-01-01,GRD,Drachma,Dracma
GTQ,http://publications.europa.eu/resource/authority/currency/GTQ,false,,1990-01-01,GTQ,Quetzal,Quetzal
GWP,http://publications.europa.eu/resource/authority/currency/GWP,true,1997-12-31,1975-01-01,GWP,Guinea-Bissau peso,
GYD,http://publications.europa.eu/resource/authority/currency/GYD,false,,1990-01-01,GYD,Guyana dollar,Dollaro della Guyana
HKD,http://publications.europa.eu/resource/authority/currency/HKD,false,,1990-01-01,HKD,Hong Kong dollar,Dollaro di Hong Kong
HNL,http://publications.europa.eu/resource/authority/currency/HNL,false,,1990-01-01,HNL,Lempira,Lempira
HRK,http://publications.europa.eu/resource/authority/currency/HRK,false,,1994-05-30,HRK,Kuna,Kuna
HTG,http://publications.europa.eu/resource/authority/currency/HTG,false,,1990-01-01,HTG,Gourde,Gourde
HUF,http://publications.europa.eu/resource/authority/currency/HUF,false,,1949-08-18,HUF,Forint,Fiorino ungherese
IDR,http://publications.europa.eu/resource/authority/currency/IDR,false,,1990-01-01,IDR,Rupiah,Rupia
IEP,http://publications.europa.eu/resource/authority/currency/IEP,true,1999-01-01,1952-07-25,IEP,Irish pound,Sterlina irlandese
ILP,http://publications.europa.eu/resource/authority/currency/ILP,true,1980-02-23,1948-01-01,ILP,Israeli lira,
ILR,http://publications.europa.eu/resource/authority/currency/ILR,true,1985-12-31,1980-02-24,ILR,Shekel,Shekel
ILS,http://publications.europa.eu/resource/authority/currency/ILS,false,,1986-01-01,ILS,Shekel,Shekel
INR,http://publications.europa.eu/resource/authority/currency/INR,false,,1990-01-01,INR,Indian rupee,Rupia indiana
IQD,http://publications.europa.eu/resource/authority/currency/IQD,false,,1990-01-01,IQD,Iraqi dinar,Dinaro iracheno
IRR,http://publications.europa.eu/resource/authority/currency/IRR,false,,1990-01-01,IRR,Iranian rial,Rial iraniano
ISJ,http://publications.europa.eu/resource/authority/currency/ISJ,true,1981-12-31,1918-01-01,ISJ,Icelandic old króna,
ISK,http://publications.europa.eu/resource/authority/currency/ISK,false,,1982-01-01,ISK,Iceland króna,Corona islandese
ITL,http://publications.europa.eu/resource/authority/currency/ITL,true,1999-01-01,1952-07-25,ITL,Italian lira,Lira italiana
JMD,http://publications.europa.eu/resource/authority/currency/JMD,false,,1990-01-01,JMD,Jamaica dollar,Dollaro giamaicano
JOD,http://publications.europa.eu/resource/authority/currency/JOD,false,,1990-01-01,JOD,Jordanian dinar,Dinaro giordano
JPY,http://publications.europa.eu/resource/authority/currency/JPY,false,,1990-01-01,JPY,Yen,Yen
KES,http://publications.europa.eu/resource/authority/currency/KES,false,,1990-01-01,KES,Kenyan shilling,Scellino del Kenya
KGS,http://publications.europa.eu/resource/authority/currency/KGS,false,,1993-05-10,KGS,Som,Som
KHR,http://publications.europa.eu/resource/authority/currency/KHR,false,,1990-01-01,KHR,Riel,Riel
KMF,http://publications.europa.eu/resource/authority/currency/KMF,false,,1990-01-01,KMF,Comorian franc,Franco comoriano
KPW,http://publications.europa.eu/resource/authority/currency/KPW,false,,1990-01-01,KPW,North Korean won,Won nordcoreano
KRW,http://publications.europa.eu/resource/authority/currency/KRW,false,,1990-01-01,KRW,South Korean won,Won sudcoreano
KWD,http://publications.europa.eu/resource/authority/currency/KWD,false,,1990-01-01,KWD,Kuwaiti dinar,Dinaro kuwaitiano
KYD,http://publications.europa.eu/resource/authority/currency/KYD,false,,1990-01-01,KYD,Cayman Islands dollar,Dollaro delle isole Cayman
KZT,http://publications.europa.eu/resource/authority/currency/KZT,false,,1993-11-15,KZT,Tenge,Tenge
LAJ,http://publications.europa.eu/resource/authority/currency/LAJ,true,1979-12-16,1976-01-01,LAJ,Kip,Kip
LAK,http://publications.europa.eu/resource/authority/currency/LAK,false,,1979-12-17,LAK,Kip,Kip
LBP,http://publications.europa.eu/resource/authority/currency/LBP,false,,1990-01-01,LBP,Lebanese pound,Lira libanese
LKR,http://publications.europa.eu/resource/authority/currency/LKR,false,,1990-01-01,LKR,Sri Lankan rupee,Rupia di Sri Lanka
LRD,http://publications.europa.eu/resource/authority/currency/LRD,false,,1990-01-01,LRD,Liberian dollar,Dollaro liberiano
LSL,http://publications.europa.eu/resource/authority/currency/LSL,false,,1990-01-01,LSL,Loti,Loti
LTL,http://publications.europa.eu/resource/authority/currency/LTL,true,2014-12-31,1993-06-25,LTL,Litas,Litas
LUF,http://publications.europa.eu/resource/authority/currency/LUF,true,1999-01-01,1952-07-25,LUF,Luxembourg franc,Franco lussemburghese
LVL,http://publications.europa.eu/resource/authority/currency/LVL,true,2013-12-31,1993-01-01,LVL,Lats,Lats
LYD,http://publications.europa.eu/resource/authority/currency/LYD,false,,1990-01-01,LYD,Libyan dinar,Dinaro libico
MAD,http://publications.europa.eu/resource/authority/currency/MAD,false,,1960-01-01,MAD,Moroccan dirham,Dirham marocchino
MCF,http://publications.europa.eu/resource/authority/currency/MCF,true,1999-01-01,1960-01-01,MCF,Monegasque franc,
MDL,http://publications.europa.eu/resource/authority/currency/MDL,false,,1993-11-29,MDL,Moldovan leu,Leu moldovo
MGA,http://publications.europa.eu/resource/authority/currency/MGA,false,,2005-01-01,MGA,Ariary,Ariary
MGF,http://publications.europa.eu/resource/authority/currency/MGF,true,2004-12-31,1963-07-01,MGF,Malagasy franc,
MKD,http://publications.europa.eu/resource/authority/currency/MKD,false,,1994-01-01,MKD,Denar,Denar
MKN,http://publications.europa.eu/resource/authority/currency/MKN,true,1993-12-31,1990-01-01,MKN,Denar A/93,
MLF,http://publications.europa.eu/resource/authority/currency/MLF,true,1984-11-30,1962-01-01,MLF,Mali franc,
MMK,http://publications.europa.eu/resource/authority/currency/MMK,false,,1990-01-01,MMK,Kyat,Kyat
MNT,http://publications.europa.eu/resource/authority/currency/MNT,false,,1990-01-01,MNT,Tugrik,Tughrik
MOP,http://publications.europa.eu/resource/authority/currency/MOP,false,,1952-06-16,MOP,Pataca,Pataca
MRO,http://publications.europa.eu/resource/authority/currency/MRO,true,2018-06-30,1990-01-01,MRO,Ouguiya,Ouguiya
MRU,http://publications.europa.eu/resource/authority/currency/MRU,false,,2018-01-01,MRU,Ouguiya,Ouguiya
MTL,http://publications.europa.eu/resource/authority/currency/MTL,true,2007-12-31,1972-01-01,MTL,Maltese lira,Lira maltese
MTP,http://publications.europa.eu/resource/authority/currency/MTP,true,1971-12-31,1952-07-25,MTP,Maltese pound,
MUR,http://publications.europa.eu/resource/authority/currency/MUR,false,,1990-01-01,MUR,Mauritian rupee,Rupia mauriziana
MVQ,http://publications.europa.eu/resource/authority/currency/MVQ,true,1983-01-21,1961-02-01,MVQ,Maldive rupee,
MVR,http://publications.europa.eu/resource/authority/currency/MVR,false,,1983-01-22,MVR,Rufiyaa,Rupia maldiviana
MWK,http://publications.europa.eu/resource/authority/currency/MWK,false,,1990-01-01,MWK,Malawian kwacha,Kwacha del Malawi
MXN,http://publications.europa.eu/resource/authority/currency/MXN,false,,1994-01-01,MXN,Mexican peso,Peso messicano
MXP,http://publications.europa.eu/resource/authority/currency/MXP,true,1993-12-31,1990-01-01,MXP,Mexican peso,Peso messicano
MXV,http://publications.europa.eu/resource/authority/currency/MXV,false,,1995-01-01,MXV,Mexican Unidad de Inversion,Unidad de Inversion messicana
MYR,http://publications.europa.eu/resource/authority/currency/MYR,false,,1990-01-01,MYR,Ringgit,Ringgit
MZM,http://publications.europa.eu/resource/authority/currency/MZM,true,2006-06-30,1980-01-01,MZM,Metical,
MZN,http://publications.europa.eu/resource/authority/currency/MZN,false,,2006-07-01,MZN,Metical,Metical
NAD,http://publications.europa.eu/resource/authority/currency/NAD,false,,1991-04-30,NAD,Namibian dollar,Dollaro namibiano
NFD,http://publications.europa.eu/resource/authority/currency/NFD,true,1949-12-31,1865-01-01,NFD,Newfoundland dollar,
NGN,http://publications.europa.eu/resource/authority/currency/NGN,false,,1990-01-01,NGN,Naira,Naira
NIO,http://publications.europa.eu/resource/authority/currency/NIO,false,,1990-01-01,NIO,Córdoba oro,Córdoba oro
NLG,http://publications.europa.eu/resource/authority/currency/NLG,true,1998-12-31,1952-07-25,NLG,Netherlands guilder,Fiorino olandese
NOK,http://publications.europa.eu/resource/authority/currency/NOK,false,,1990-01-01,NOK,Norwegian krone,Corona norvegese
NPR,http://publications.europa.eu/resource/authority/currency/NPR,false,,1990-01-01,NPR,Nepalese rupee,Rupia nepalese
NZD,http://publications.europa.eu/resource/authority/currency/NZD,false,,1990-01-01,NZD,New Zealand dollar,Dollaro neozelandese
OMR,http://publications.europa.eu/resource/authority/currency/OMR,false,,1990-01-01,OMR,Omani rial,Rial omanita
OP_DATPRO,http://publications.europa.eu/resource/authority/currency/OP_DATPRO,,,,OP_DATPRO,Provisional data,Dati provvisori
PAB,http://publications.europa.eu/resource/authority/currency/PAB,false,,1990-01-01,PAB,Balboa,Balboa
PEH,http://publications.europa.eu/resource/authority/currency/PEH,true,1985-01-31,1952-07-25,PEH,Sol,Sol
PEI,http://publications.europa.eu/resource/authority/currency/PEI,true,1991-12-31,1985-02-01,PEI,Inti,
PEN,http://publications.europa.eu/resource/authority/currency/PEN,false,,2015-12-15,PEN,Sol,Sol
PGK,http://publications.europa.eu/resource/authority/currency/PGK,false,,1990-01-01,PGK,Kina,Kina
PHP,http://publications.europa.eu/resource/authority/currency/PHP,false,,1990-01-01,PHP,Philippine peso,Peso filippino
PKR,http://publications.europa.eu/resource/authority/currency/PKR,false,,1990-01-01,PKR,Pakistani rupee,Rupia pakistana
PLN,http://publications.europa.eu/resource/authority/currency/PLN,false,,1995-01-01,PLN,Zloty,Zloty
PLZ,http://publications.europa.eu/resource/authority/currency/PLZ,true,1994-12-31,1950-01-01,PLZ,Zloty A/94,
PTE,http://publications.europa.eu/resource/authority/currency/PTE,true,1999-01-01,1911-05-22,PTE,Portuguese escudo,Escudo portoghese
PYG,http://publications.europa.eu/resource/authority/currency/PYG,false,,1990-01-01,PYG,Guaraní,Guarani
QAR,http://publications.europa.eu/resource/authority/currency/QAR,false,,1990-01-01,QAR,Qatari rial,Rial qatariano
ROL,http://publications.europa.eu/resource/authority/currency/ROL,true,2005-06-30,1952-01-28,ROL,Romanian leu A/05,
RON,http://publications.europa.eu/resource/authority/currency/RON,false,,2005-07-01,RON,Romanian leu,Leu rumeno
RSD,http://publications.europa.eu/resource/authority/currency/RSD,false,,2006-10-27,RSD,Serbian dinar,Dinaro serbo
RUB,http://publications.europa.eu/resource/authority/currency/RUB,false,,1998-01-01,RUB,Russian rouble,Rublo russo
RUR,http://publications.europa.eu/resource/authority/currency/RUR,true,1997-12-31,1992-01-01,RUR,Russian rouble A/97,
RWF,http://publications.europa.eu/resource/authority/currency/RWF,false,,1990-01-01,RWF,Rwandese franc,Franco ruandese
SAR,http://publications.europa.eu/resource/authority/currency/SAR,false,,1990-01-01,SAR,Saudi riyal,Riyal saudita
SBD,http://publications.europa.eu/resource/authority/currency/SBD,false,,1990-01-01,SBD,Solomon Islands dollar,Dollaro delle Isole Salomone
SCR,http://publications.europa.eu/resource/authority/currency/SCR,false,,1990-01-01,SCR,Seychelles rupee,Rupia delle Seychelles
SDD,http://publications.europa.eu/resource/authority/currency/SDD,true,2007-01-10,1992-06-08,SDD,Sudanese dinar,
SDG,http://publications.europa.eu/resource/authority/currency/SDG,false,,2008-01-01,SDG,Sudanese pound,Sterlina sudanese
SEK,http://publications.europa.eu/resource/authority/currency/SEK,false,,1990-01-01,SEK,Swedish krona,Corona svedese
SGD,http://publications.europa.eu/resource/authority/currency/SGD,false,,1990-01-01,SGD,Singapore dollar,Dollaro di Singapore
SHP,http://publications.europa.eu/resource/authority/currency/SHP,false,,1990-01-01,SHP,Saint Helena pound,Sterlina di Sant’Elena
SIT,http://publications.europa.eu/resource/authority/currency/SIT,true,2007-01-01,1991-10-08,SIT,Slovenian tolar,Tàllero
SKK,http://publications.europa.eu/resource/authority/currency/SKK,true,2009-01-01,1993-02-08,SKK,Slovak koruna,Corona slovacca
SLL,http://publications.europa.eu/resource/authority/currency/SLL,false,,1990-01-01,SLL,Leone,Leone
SML,http://publications.europa.eu/resource/authority/currency/SML,true,1999-01-01,1952-07-25,SML,San Marinese lira,
SOS,http://publications.europa.eu/resource/authority/currency/SOS,false,,1995-01-01,SOS,Somali shilling,Scellino somalo
SQS,http://publications.europa.eu/resource/authority/currency/SQS,true,1994-01-02,1994-01-01,SQS,Somaliland shilling,Scellino del Somaliland
SRD,http://publications.europa.eu/resource/authority/currency/SRD,false,,2005-01-01,SRD,Surinamese dollar,Dollaro del Suriname
SRG,http://publications.europa.eu/resource/authority/currency/SRG,true,2004-12-31,1990-01-01,SRG,Suriname guilder,
SSP,http://publications.europa.eu/resource/authority/currency/SSP,false,,2011-07-18,SSP,South Sudanese pound,Sterlina sud-sudanese
STD,http://publications.europa.eu/resource/authority/currency/STD,true,2018-06-30,1990-01-01,STD,Dobra,Dobra
STN,http://publications.europa.eu/resource/authority/currency/STN,false,,2018-01-01,STN,Dobra,Dobra
SUR,http://publications.europa.eu/resource/authority/currency/SUR,true,1991-12-31,1961-01-01,SUR,Soviet Union rouble,
SVC,http://publications.europa.eu/resource/authority/currency/SVC,false,,1919-01-01,SVC,Salvadorian colón,Colón salvadoregno
SYP,http://publications.europa.eu/resource/authority/currency/SYP,false,,1990-01-01,SYP,Syrian pound,Lira sterlina siriana
SZL,http://publications.europa.eu/resource/authority/currency/SZL,false,,1990-01-01,SZL,Lilangeni,Lilangeni
THB,http://publications.europa.eu/resource/authority/currency/THB,false,,1990-01-01,THB,Baht,Baht
TJR,http://publications.europa.eu/resource/authority/currency/TJR,true,2000-10-29,1995-05-10,TJR,Tajikistani rouble,
TJS,http://publications.europa.eu/resource/authority/currency/TJS,false,,2000-10-30,TJS,Somoni,Somoni
TMM,http://publications.europa.eu/resource/authority/currency/TMM,true,2008-12-31,1993-10-27,TMM,Turkmen manat,Manat turkmeno
TMT,http://publications.europa.eu/resource/authority/currency/TMT,false,,2009-01-01,TMT,Turkmen manat,Manat turkmeno
TND,http://publications.europa.eu/resource/authority/currency/TND,false,,1990-01-01,TND,Tunisian dinar,Dinaro tunisino
TOP,http://publications.europa.eu/resource/authority/currency/TOP,false,,1990-01-01,TOP,Pa’anga,Paanga
TPE,http://publications.europa.eu/resource/authority/currency/TPE,true,1976-12-31,1959-01-01,TPE,Portuguese Timorese escudo,
TRL,http://publications.europa.eu/resource/authority/currency/TRL,true,2005-12-31,1990-01-01,TRL,Turkish lira A/05,
TRY,http://publications.europa.eu/resource/authority/currency/TRY,false,,2006-01-01,TRY,Turkish lira,Lira turca
TTD,http://publications.europa.eu/resource/authority/currency/TTD,false,,1990-01-01,TTD,Trinidad and Tobago dollar,Dollaro di Trinidad e Tobago
TVD,http://publications.europa.eu/resource/authority/currency/TVD,true,1976-01-02,1976-01-01,TVD,Tuvaluan dollar,Dollaro di Tuvalu
TWD,http://publications.europa.eu/resource/authority/currency/TWD,false,,1990-01-01,TWD,New Taiwan dollar,Nuovo dollaro di Taiwan
TZS,http://publications.europa.eu/resource/authority/currency/TZS,false,,1990-01-01,TZS,Tanzanian shilling,Scellino della Tanzania
UAH,http://publications.europa.eu/resource/authority/currency/UAH,false,,1996-09-02,UAH,Hryvnia,Hrivna
